post_id,source_no,source_id,publisher,via,source_title,source_date,url,quote_no,quote,in_saved_extract,extract_file
2026-09-24-brief,1,reu-escondida,Reuters,Yahoo Finance,World's largest copper mine halts operations after worker death,2026-09-23,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html,1,"Operations at the world's largest copper mine, BHP's Escondida mine in Chile, were suspended on Wednesday after a worker was killed in an accident, the firm said.",Y,runs/2026-09-24/articles/reu-escondida.md
2026-09-24-brief,1,reu-escondida,Reuters,Yahoo Finance,World's largest copper mine halts operations after worker death,2026-09-23,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html,2,BHP said the worker had been killed while carrying out maintenance work.,Y,runs/2026-09-24/articles/reu-escondida.md
2026-09-24-brief,1,reu-escondida,Reuters,Yahoo Finance,World's largest copper mine halts operations after worker death,2026-09-23,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html,3,"""All operational activities at the mine have been suspended,"" BHP said in a statement, without giving a timeline for when they may restart.",Y,runs/2026-09-24/articles/reu-escondida.md
2026-09-24-brief,1,reu-escondida,Reuters,Yahoo Finance,World's largest copper mine halts operations after worker death,2026-09-23,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html,4,"Typically in Chile, mines may only kick off activities after a fatal incident once inspectors verify that conditions are safe enough for a restart.",Y,runs/2026-09-24/articles/reu-escondida.md
2026-09-24-brief,1,reu-escondida,Reuters,Yahoo Finance,World's largest copper mine halts operations after worker death,2026-09-23,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html,5,"BHP operates the mine, while Rio Tinto holds a 30% stake and Japan-based JECO Corp 12.5%.",Y,runs/2026-09-24/articles/reu-escondida.md
2026-09-24-brief,1,reu-escondida,Reuters,Yahoo Finance,World's largest copper mine halts operations after worker death,2026-09-23,https://ca.finance.yahoo.com/news/fatal-accident-occurs-bhps-chile-181850851.html,6,BHP had estimated the site would produce up to 1.28 million metric tons of the red metal this year.,Y,runs/2026-09-24/articles/reu-escondida.md
2026-09-24-brief,2,reu-escondida-union,Reuters,MINING.COM,"BHP Escondida mine supervisors' union urges rejection of contract offer, strike looms",2026-09-23,https://www.mining.com/web/bhp-escondida-mine-supervisors-union-urges-rejection-of-contract-offer-strike-looms/,1,"BHP presented the offer at the end of Tuesday's session in the formal negotiation process, which will be voted on by union members on September 28-30.",Y,runs/2026-09-24/articles/reu-escondida-union.md
2026-09-24-brief,2,reu-escondida-union,Reuters,MINING.COM,"BHP Escondida mine supervisors' union urges rejection of contract offer, strike looms",2026-09-23,https://www.mining.com/web/bhp-escondida-mine-supervisors-union-urges-rejection-of-contract-offer-strike-looms/,2,"The union board unanimously rejected the latest offer claiming it ""lacks essential elements,"" according to union leader Alexis Barrera.",Y,runs/2026-09-24/articles/reu-escondida-union.md
2026-09-24-brief,2,reu-escondida-union,Reuters,MINING.COM,"BHP Escondida mine supervisors' union urges rejection of contract offer, strike looms",2026-09-23,https://www.mining.com/web/bhp-escondida-mine-supervisors-union-urges-rejection-of-contract-offer-strike-looms/,3,"If members vote to reject the offer, a mandatory five-day government mediation follows before a legal strike can begin, with the period extendable by five more days by mutual agreement.",Y,runs/2026-09-24/articles/reu-escondida-union.md
2026-09-24-brief,3,reu-centinela,Reuters,MINING.COM,Unions call strike vote at Antofagasta copper mine in Chile,2026-09-23,https://www.mining.com/web/unions-call-strike-vote-at-antofagasta-copper-mine-in-chile,1,"Two unions representing workers at Antofagasta Minerals' (LON: ANTO) Centinela copper mine in Chile called on workers to hold a strike vote, saying negotiations with the firm had reached a ""dead end"".",Y,runs/2026-09-24/articles/reu-centinela.md
